_id,user,code,items[0].product,items[0].name,items[0].quantity,items[0].price,items[0].image,items[0]._id,items[1].product,items[1].name,items[1].quantity,items[1].price,items[1].image,items[1]._id,items[2].product,items[2].name,items[2].quantity,items[2].price,items[2].image,items[2]._id,shippingAddress.fullName,shippingAddress.phone,shippingAddress.province,shippingAddress.district,shippingAddress.ward,shippingAddress.address,payment.method,payment.status,payment.transactionId,status,subTotal,shippingFee,discount.code,discount.amount,totalAmount,notes,createdAt,updatedAt,__v
8a8ccaf002abb07b531a9d72,b147c5a48776c6549027856c,ORD261001,6933d83cf17e1b6d5ec15b0b,Bộ Bàn Ăn 6 Ghế,2,8900000,https://res.cloudinary.com/drgho551x/image/upload/v1765005255/furniture-shop/images/rwh9exvb3d9tcxu5fzez.jpg,a74bf5b9374a3fd70410d71d,6933adafb53918b85561127a,Sofa Góc Lullaby,2,15000000,https://res.cloudinary.com/drgho551x/image/upload/v1764945188/furniture-shop/images/crld8x0skjkryk3utbzh.jpg,d91c182cbc0772cdff8b72bb,6933c69f2ea2861093a39b3d,Sofa Giường Thông Minh,3,8500000,https://res.cloudinary.com/drgho551x/image/upload/v1765001355/furniture-shop/images/p3rpwcd6q7zwugprljql.jpg,94e70ecd02a83d45405604c9,Nguyen Minh,0999475954,Da Nang,Cau Giay,Thach Thang,622 Nguyen Van Linh,BANK,pending,TX160155081585,processing,73300000,0,FLASH20,0,73300000,Seed dataset for recommendation and analytics,2026-01-19T19:14:00Z,2026-01-19T19:14:00Z,0
95844b6b2d8ce234d67e8fb0,b147c5a48776c6549027856c,ORD261002,6933d83cf17e1b6d5ec15b0b,Bộ Bàn Ăn 6 Ghế,1,8900000,https://res.cloudinary.com/drgho551x/image/upload/v1765005255/furniture-shop/images/rwh9exvb3d9tcxu5fzez.jpg,072f1b71139594bcee04a773,6933c4202ea2861093a39b34,Sofa Băng Da Bò Thật,2,28500000,https://res.cloudinary.com/drgho551x/image/upload/v1764999892/furniture-shop/images/kpuxgx6zl7rddbn6lum0.jpg,b2fd568f00e6f9af62ef9575,,,,,,,Nguyen Minh,0912561677,Can Tho,Hai Chau,An Hoa,773 Nguyen Van Linh,BANK,completed,TX206683887955,delivered,65900000,45000,WELCOME10,100000,65845000,Seed dataset for recommendation and analytics,2026-01-01T03:05:00Z,2026-01-01T03:05:00Z,0
2f719f554d2dcac3fcf750b8,b147c5a48776c6549027856c,ORD261003,6933adafb53918b85561127a,Sofa Góc Lullaby,3,15000000,https://res.cloudinary.com/drgho551x/image/upload/v1764945188/furniture-shop/images/crld8x0skjkryk3utbzh.jpg,ddd1669b24417f755b132524,,,,,,,,,,,,,Nguyen Minh,0992701085,Ho Chi Minh,Quan 1,Dich Vong,992 Nguyen Van Linh,COD,pending,,processing,45000000,0,WELCOME10,250000,44750000,Seed dataset for recommendation and analytics,2025-12-08T13:58:00Z,2025-12-08T13:58:00Z,0
d85ff734b88de3690a8e8335,b147c5a48776c6549027856c,ORD261004,6933d83cf17e1b6d5ec15b0b,Bộ Bàn Ăn 6 Ghế,3,8900000,https://res.cloudinary.com/drgho551x/image/upload/v1765005255/furniture-shop/images/rwh9exvb3d9tcxu5fzez.jpg,0868533749af3c0487a79df5,6933adafb53918b85561127a,Sofa Góc Lullaby,2,15000000,https://res.cloudinary.com/drgho551x/image/upload/v1764945188/furniture-shop/images/crld8x0skjkryk3utbzh.jpg,249159cd47dfbd2566fbd195,6933c4202ea2861093a39b34,Sofa Băng Da Bò Thật,2,28500000,https://res.cloudinary.com/drgho551x/image/upload/v1764999892/furniture-shop/images/kpuxgx6zl7rddbn6lum0.jpg,ea6ea560994dd2465894d7f3,Nguyen Minh,0959813731,Da Nang,Quan 1,Thach Thang,716 Nguyen Van Linh,COD,completed,,delivered,113700000,45000,VIP50,100000,113645000,Seed dataset for recommendation and analytics,2026-01-02T20:58:00Z,2026-01-02T20:58:00Z,0
88af292d03dec8f70f820a7f,50d83bf3615543cb3a606532,ORD261005,6933cd1a2ea2861093a39b50,Sofa Đơn Thư Giãn,2,4200000,https://res.cloudinary.com/drgho551x/image/upload/v1765002454/furniture-shop/images/gum1wzt2vn3k7ooy4koi.jpg,174b7454fa0da64f0c7201cb,,,,,,,,,,,,,Tran Lan,0940960299,Da Nang,Cau Giay,Thach Thang,555 Nguyen Van Linh,BANK,completed,TX442660673649,delivered,8400000,45000,WELCOME10,100000,8345000,Seed dataset for recommendation and analytics,2025-11-19T10:25:00Z,2025-11-19T10:25:00Z,0
d69b019ae90f2c50bc8f93bb,50d83bf3615543cb3a606532,ORD261006,6948c80e82c30577b2147244,Ghế Giám Đốc,2,4000000,https://res.cloudinary.com/drgho551x/image/upload/v1766378253/Gemini_Generated_Image_y9ade9y9ade9y9ad_pchlqj.png,494683efae162d7a4635da4d,6933cfb22ea2861093a39b5b,Bàn Trà Kính Tròn,2,2500000,https://res.cloudinary.com/drgho551x/image/upload/v1765003147/furniture-shop/images/tc8rdxaov9yeymoeekwz.jpg,e02c93e1336ec25f20345feb,6933d83cf17e1b6d5ec15b0b,Bộ Bàn Ăn 6 Ghế,3,8900000,https://res.cloudinary.com/drgho551x/image/upload/v1765005255/furniture-shop/images/rwh9exvb3d9tcxu5fzez.jpg,0565b660e9db2b2ff21ccb92,Tran Lan,0997737500,Da Nang,Quan 1,Dich Vong,386 Nguyen Van Linh,BANK,pending,TX487688018427,cancelled,39700000,45000,FLASH20,0,39745000,Seed dataset for recommendation and analytics,2026-03-26T00:54:00Z,2026-03-26T00:54:00Z,0
29619650a188b3cd1982e90a,50d83bf3615543cb3a606532,ORD261007,6933d83cf17e1b6d5ec15b0b,Bộ Bàn Ăn 6 Ghế,3,8900000,https://res.cloudinary.com/drgho551x/image/upload/v1765005255/furniture-shop/images/rwh9exvb3d9tcxu5fzez.jpg,2b986e15e83940b205e838bb,6933cd1a2ea2861093a39b50,Sofa Đơn Thư Giãn,3,4200000,https://res.cloudinary.com/drgho551x/image/upload/v1765002454/furniture-shop/images/gum1wzt2vn3k7ooy4koi.jpg,3c313cab50e887999eaca82e,,,,,,,Tran Lan,0990499801,Can Tho,Cau Giay,Thach Thang,782 Nguyen Van Linh,BANK,completed,TX437803342546,delivered,39300000,30000,VIP50,400000,38930000,Seed dataset for recommendation and analytics,2026-03-29T12:49:00Z,2026-03-29T12:49:00Z,0
543f444eaf4544aa7f8a939a,50d83bf3615543cb3a606532,ORD261008,6933c4202ea2861093a39b34,Sofa Băng Da Bò Thật,3,28500000,https://res.cloudinary.com/drgho551x/image/upload/v1764999892/furniture-shop/images/kpuxgx6zl7rddbn6lum0.jpg,13eabdaa995dce33b4f4f92f,,,,,,,,,,,,,Tran Lan,0970215645,Can Tho,Cau Giay,An Hoa,986 Nguyen Van Linh,BANK,pending,TX266308688312,shipped,85500000,0,WELCOME10,250000,85250000,Seed dataset for recommendation and analytics,2026-03-20T19:00:00Z,2026-03-20T19:00:00Z,0
4f5634baaf5ba1e38be965d7,50d83bf3615543cb3a606532,ORD261009,6933d83cf17e1b6d5ec15b0b,Bộ Bàn Ăn 6 Ghế,2,8900000,https://res.cloudinary.com/drgho551x/image/upload/v1765005255/furniture-shop/images/rwh9exvb3d9tcxu5fzez.jpg,6745966ba5512e089c4851b8,,,,,,,,,,,,,Tran Lan,0954929199,Da Nang,Quan 1,Ben Nghe,443 Nguyen Van Linh,BANK,completed,TX747408435279,pending,17800000,0,,100000,17700000,Seed dataset for recommendation and analytics,2025-12-10T22:54:00Z,2025-12-10T22:54:00Z,0
8f649dde0f4cb3a8e8b06f7b,50d83bf3615543cb3a606532,ORD261010,6933d83cf17e1b6d5ec15b0b,Bộ Bàn Ăn 6 Ghế,1,8900000,https://res.cloudinary.com/drgho551x/image/upload/v1765005255/furniture-shop/images/rwh9exvb3d9tcxu5fzez.jpg,917efcac141a6081b21bd744,,,,,,,,,,,,,Tran Lan,0958737509,Ho Chi Minh,Quan 1,An Hoa,425 Nguyen Van Linh,COD,completed,,shipped,8900000,30000,WELCOME10,0,8930000,Seed dataset for recommendation and analytics,2026-03-19T22:02:00Z,2026-03-19T22:02:00Z,0
